代码	名称	市盈(动)	涨幅%	现价	涨跌	买价	卖价	总量	现量	细分行业	涨速%	换手%	量比	流通市值	流通股(亿)	
000166	申万宏源	    16.48	-2.21	5.31	-0.12	5.31	5.32	615607	14067	证券	0.00	          0.27	  0.93	       1196.64亿	        225.36	
000686	东北证券	    17.34	-2.47	9.88	-0.25	9.87	9.88	287568	5717	证券	0.30	          1.23	  1.13	        231.24亿	         23.40	
000712	锦龙股份	    40.49	-1.60	14.72	-0.24	14.71	14.72	95675	2358	证券	0.00	          1.20	  0.63	        117.17亿	          7.96	
000728	国元证券	    32.66	0.00	11.99	0.00	11.98	11.99	1103315	20381	证券	0.00	          3.74	  0.63	        353.24亿	         29.46	
000750	国海证券	    24.00	-2.56	5.33	-0.14	5.33	5.34	951904	16203	证券	0.00	          1.75	  0.47	        290.19亿	         54.45	
000776	广发证券	    10.45	-1.00	15.78	-0.16	15.77	15.78	417866	5944	证券	0.06	          0.71	  0.88	        934.06亿	         59.19	
000783	长江证券	    23.55	-1.35	8.02	-0.11	8.01	8.02	231674	4086	证券	0.38	          0.42	  0.84	        443.47亿	         55.30	
002500	山西证券	    28.24	-1.36	7.95	-0.11	7.95	7.96	222612	4508	证券	0.00	          0.62	  0.79	        285.39亿	         35.90	
002670	国盛金控	--  	-2.84	9.58	-0.28	9.58	9.59	130264	3442	证券	-0.09	          0.80	  0.54	        155.47亿	         16.23	
002673	西部证券	    26.08	-1.25	9.50	-0.12	9.50	9.51	269277	5620	证券	-0.10	          0.77	  0.81	        332.67亿	         35.02	
002736	国信证券	    21.95	-1.47	13.45	-0.20	13.45	13.46	142937	3498	证券	0.00	          0.17	  0.63	       1102.90亿	         82.00	
002797	第一创业	    55.30	0.73	11.11	0.08	11.11	11.12	1437163	33971	证券	0.36	          4.10	  0.81	        389.12亿	         35.02	
002926	华西证券	    17.04	-1.88	11.98	-0.23	11.97	11.98	224702	5767	证券	0.25	          1.26	  0.98	        213.02亿	         17.78	
002939	长城证券	    30.35	-1.58	13.05	-0.21	13.05	13.06	143168	4598	证券	0.15	          0.86	  0.84	        217.18亿	         16.64	
002945	华林证券	    66.64	-2.02	14.05	-0.29	14.05	14.06	63424	2343	证券	-0.27	          0.84	  0.97	        106.05亿	          7.55	
300059	东方财富	    57.13	-0.91	23.99	-0.22	23.98	23.99	1332426	24109	证券	-0.07	          1.87	  0.85	       1711.02亿	         71.32	
601990	南京证券	    44.38	0.07	14.12	0.01	14.11	14.12	288279	8407	证券	0.00	          1.40	  1.25	        291.01亿	         20.61	
601901	方正证券	    53.89	-0.71	8.40	-0.06	8.40	8.41	164400	6256	证券	0.00	          0.20	  0.78	        691.50亿	         82.32	
601881	中国银河	    18.11	-1.86	12.69	-0.24	12.69	12.70	223467	6280	证券	-0.23	          0.35	  0.84	        818.03亿	         64.46	
601878	浙商证券	    48.89	2.49	17.71	0.43	17.71	17.72	1324531	41306	证券	0.45	          3.66	  0.98	        640.05亿	         36.14	
601788	光大证券	    23.52	-1.83	21.95	-0.41	21.95	21.96	488121	9720	证券	0.14	          1.25	  1.01	        857.52亿	         39.07	
601696	中银证券	    65.10	-1.76	26.73	-0.48	26.73	26.74	84272	2031	证券	-0.06	          3.03	  0.89	         74.31亿	          2.78	
601688	华泰证券	    14.55	-0.92	20.53	-0.19	20.53	20.54	410590	9181	证券	0.20	          0.56	  1.00	       1510.52亿	         73.58	
601555	东吴证券	    20.09	-0.93	10.67	-0.10	10.66	10.67	411782	9705	证券	-0.08	          1.06	  0.86	        414.05亿	         38.81	
601456	国联证券	    72.70	0.00	19.64	0.00		--  	0	0	证券	0.00	--  	0.00	         93.43亿	          4.76	
601377	兴业证券	    17.12	-1.90	8.28	-0.16	8.28	8.29	751221	11511	证券	0.36	          1.12	  0.91	        554.48亿	         66.97	
601375	中原证券	   405.58	-2.53	5.39	-0.14	5.38	5.39	201196	2668	证券	0.00	          0.75	  1.01	        144.11亿	         26.74	
601236	红塔证券	    42.59	-1.35	18.29	-0.25	18.28	18.29	76276	2407	证券	0.00	          0.52	  0.87	        269.76亿	         14.75	
601211	国泰君安	    14.90	-0.92	18.24	-0.17	18.24	18.25	236462	6077	证券	0.00	          0.31	  0.84	       1370.94亿	         75.16	
601198	东兴证券	    22.51	-1.99	12.83	-0.26	12.83	12.84	148638	3384	证券	0.08	          0.54	  0.67	        353.85亿	         27.58	
601162	天风证券	    53.25	-2.12	6.47	-0.14	6.46	6.47	691466	12075	证券	0.31	          1.80	  0.69	        248.35亿	         38.38	
601108	财通证券	    31.28	-2.05	14.30	-0.30	14.30	14.31	625547	8525	证券	-0.06	          2.60	  0.90	        344.16亿	         24.07	
601099	太平洋	   262.07	-3.10	4.07	-0.13	4.06	4.07	2671510	28928	证券	0.00	          3.92	  1.22	        277.42亿	         68.16	
601066	中信建投	    41.60	-0.46	49.82	-0.23	49.81	49.82	161499	4069	证券	0.06	          1.23	  0.80	        655.13亿	         13.15	
600999	招商证券	    21.68	-1.23	21.61	-0.27	21.60	21.61	218158	4186	证券	0.14	          0.29	  0.71	       1603.90亿	         74.22	
